Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
home,104,166,127,187,227,540,103,2673,0.000%,.10097,3.77,0.94
predefinedDate,6,137,122,128,226,226,112,226,0.000%,.00588,0.17,0.06
randomPageParseRandom,6,124,118,120,160,160,114,160,0.000%,.00588,0.19,0.06
openPost,10,171,2,325,325,947,1,947,0.000%,.00981,0.28,0.02
search,2,215,123,308,308,308,123,308,0.000%,.00197,0.06,0.02
randomDate,4,120,106,158,158,158,102,158,0.000%,.00393,0.11,0.04
randomPageParseFirst,4,139,119,173,173,173,114,173,0.000%,.00393,0.12,0.04
Anonymous Script,2,2613,2045,3181,3181,3181,2045,3181,0.000%,.00196,1.05,0.26
Debug Sampler,2,1,0,2,2,2,0,2,0.000%,.00197,0.01,0.00
Main Script,2,11029,8618,13441,13441,13441,8618,13441,0.000%,.00194,4.68,1.16
TOTAL,142,347,124,226,522,8618,0,13441,0.000%,.13769,10.40,2.59
